cause_medium,year,age_name,sex,measure,nm_mean
Hemorrhagic stroke,2010,30-34 years,Males,death,149.476
Hemorrhagic stroke,2010,35-39 years,Males,death,275.598
Hemorrhagic stroke,2010,40-44 years,Males,death,560.981
Hemorrhagic stroke,2010,45-49 years,Males,death,1062.14
Hemorrhagic stroke,2010,50-54 years,Males,death,1648.16
Hemorrhagic stroke,2010,55-59 years,Males,death,1921.19
Hemorrhagic stroke,2010,60-64 years,Males,death,2244.64
Hemorrhagic stroke,2010,65-69 years,Males,death,2429.9
Hemorrhagic stroke,2010,70-74 years,Males,death,2608.83
Hemorrhagic stroke,2010,75-79 years,Males,death,2312.85
Hemorrhagic stroke,2010,80+ years,Males,death,5170.35
Hemorrhagic stroke,2010,All ages,Males,death,20668.8
Hemorrhagic stroke,2010,5-14 years,Males,death,29.111
Hemorrhagic stroke,2010,Under 5 years,Females,death,39.6691
Hemorrhagic stroke,2010,15-19 years,Females,death,28.0949
Hemorrhagic stroke,2010,20-24 years,Females,death,49.7005
Hemorrhagic stroke,2010,25-29 years,Females,death,78.0342
Hemorrhagic stroke,2010,30-34 years,Females,death,138.815
Hemorrhagic stroke,2010,35-39 years,Females,death,266.473
Hemorrhagic stroke,2010,40-44 years,Females,death,570.882
Hemorrhagic stroke,2010,45-49 years,Females,death,1036.71
Hemorrhagic stroke,2010,50-54 years,Females,death,1432.78
Hemorrhagic stroke,2010,55-59 years,Females,death,1695.54
Hemorrhagic stroke,2010,60-64 years,Females,death,2136.91
Hemorrhagic stroke,2010,65-69 years,Females,death,2326.93
Hemorrhagic stroke,2010,70-74 years,Females,death,3154.84
Hemorrhagic stroke,2010,75-79 years,Females,death,2717.93
Hemorrhagic stroke,2010,80+ years,Females,death,10489.1
Hemorrhagic stroke,2010,All ages,Females,death,26189.4
Hemorrhagic stroke,2010,5-14 years,Females,death,26.9615
Hypertensive heart disease,2010,Under 5 years,Males,death,11.8176
Hypertensive heart disease,2010,15-19 years,Males,death,12.8289
Hypertensive heart disease,2010,20-24 years,Males,death,35.1251
Hypertensive heart disease,2010,25-29 years,Males,death,71.2769
Hypertensive heart disease,2010,30-34 years,Males,death,126.124
Hypertensive heart disease,2010,35-39 years,Males,death,246.757
